login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
ValentineFernandes,ValentineFernandes/Age-Calculator-,2022-08-17T06:32:19Z,13,13,CSS,True,True,mit
ValentineFernandes,ValentineFernandes/ASP.NET-,2022-04-26T10:12:11Z,18,18,ASP.NET,True,True,
ValentineFernandes,ValentineFernandes/Assignment-4.2,2022-04-14T11:55:25Z,15,15,HTML,True,True,
ValentineFernandes,ValentineFernandes/Bank-Management-System,2022-04-24T16:24:17Z,26,26,C,True,True,
ValentineFernandes,ValentineFernandes/BMI-Calculator-Website,2022-08-17T04:47:27Z,11,11,HTML,True,True,mit
ValentineFernandes,ValentineFernandes/C,2022-04-24T06:34:38Z,19,19,C,True,True,
ValentineFernandes,ValentineFernandes/C-,2022-04-24T09:27:58Z,18,18,C++,True,True,
ValentineFernandes,ValentineFernandes/C-Sharp,2022-04-26T09:00:26Z,18,18,C#,True,True,
ValentineFernandes,ValentineFernandes/Calculator,2022-03-29T09:50:31Z,43,43,HTML,True,True,mit
ValentineFernandes,ValentineFernandes/calculator-light-dark-mode,2022-05-05T10:48:02Z,38,38,HTML,True,True,mit
ValentineFernandes,ValentineFernandes/CloseBuy-App,2022-04-22T16:28:02Z,17,17,JavaScript,True,True,
ValentineFernandes,ValentineFernandes/Coffee-Website,2022-06-15T10:59:09Z,19,19,PHP,True,True,mit
ValentineFernandes,ValentineFernandes/CSS,2022-04-18T14:29:29Z,17,17,CSS,True,True,
ValentineFernandes,ValentineFernandes/css-design,2022-06-15T13:33:51Z,14,14,,True,False,mit
ValentineFernandes,ValentineFernandes/DentalClinic-Website,2022-06-02T10:28:55Z,60,60,HTML,True,True,mit
ValentineFernandes,ValentineFernandes/Distance-Calculator,2022-04-22T16:22:56Z,17,17,JavaScript,True,True,
ValentineFernandes,ValentineFernandes/eFresh-Groceries-Website,2022-03-24T08:38:06Z,46,46,HTML,True,True,mit
ValentineFernandes,ValentineFernandes/eShop-Website,2022-05-31T17:19:36Z,57,57,Java,True,True,mit
ValentineFernandes,ValentineFernandes/Food-Website,2022-06-01T17:20:57Z,54,54,HTML,True,True,mit
ValentineFernandes,ValentineFernandes/github-statistics,2022-07-17T16:52:34Z,10,10,Python,True,True,mit
ValentineFernandes,ValentineFernandes/HTML,2022-03-12T10:21:27Z,18,18,HTML,True,True,
ValentineFernandes,ValentineFernandes/HTML-CSS-JS-course,2022-06-15T13:25:54Z,14,14,,True,True,
ValentineFernandes,ValentineFernandes/Interior-Design-Website,2022-06-16T15:10:31Z,34,34,SCSS,True,True,mit
ValentineFernandes,ValentineFernandes/interview-questions,2022-06-11T11:13:09Z,19,19,,True,True,
ValentineFernandes,ValentineFernandes/interview-questions-and-answers,2022-07-22T16:44:06Z,4,4,,True,True,mit
ValentineFernandes,ValentineFernandes/Java-,2022-02-15T18:30:08Z,15,15,Java,True,True,
ValentineFernandes,ValentineFernandes/Java-Algorithms,2022-06-15T13:29:22Z,14,14,,True,False,mit
ValentineFernandes,ValentineFernandes/Java-Coding-Questions,2022-07-23T09:33:01Z,8,8,Java,True,True,mit
ValentineFernandes,ValentineFernandes/Java-Resources,2022-07-23T10:34:34Z,8,8,,True,True,mit
ValentineFernandes,ValentineFernandes/JavaScript,2022-04-18T14:41:05Z,16,16,JavaScript,True,True,
kovidgoyal,kovidgoyal/ale,2021-05-20T15:09:20Z,0,0,Vim script,True,True,bsd-2-clause
kovidgoyal,kovidgoyal/build-calibre,2016-06-27T09:01:49Z,29,29,Python,True,True,gpl-3.0
kovidgoyal,kovidgoyal/bypy,2019-05-03T08:10:09Z,29,29,Python,True,True,
kovidgoyal,kovidgoyal/calibre,2013-05-28T10:03:23Z,19675,19675,Python,True,False,gpl-3.0
kovidgoyal,kovidgoyal/calibre-translations,2014-05-26T08:25:34Z,18,18,,True,True,
kovidgoyal,kovidgoyal/cpython,2017-02-11T03:59:10Z,17,17,Python,True,False,other
kovidgoyal,kovidgoyal/cpython-source-deps,2019-01-16T08:00:57Z,1,1,,True,False,
kovidgoyal,kovidgoyal/dukpy,2015-02-03T14:57:16Z,40,40,C,True,True,other
kovidgoyal,kovidgoyal/html5-parser,2017-06-03T06:56:36Z,681,681,C,True,True,apache-2.0
kovidgoyal,kovidgoyal/i3,2017-10-18T11:48:57Z,1,1,C,True,False,other
kovidgoyal,kovidgoyal/imaging,2024-03-22T04:42:22Z,10,10,Go,True,False,mit
kovidgoyal,kovidgoyal/iv,2016-10-03T04:05:48Z,40,40,Python,True,True,gpl-3.0
kovidgoyal,kovidgoyal/kitty,2016-10-16T14:48:28Z,24405,24405,Python,True,True,gpl-3.0
kovidgoyal,kovidgoyal/kitty-fosshack2024,2024-06-08T05:47:35Z,9,9,,True,True,gpl-3.0
kovidgoyal,kovidgoyal/kitty-themes,2021-08-02T09:02:40Z,422,422,Python,True,True,gpl-3.0
kovidgoyal,kovidgoyal/KOVIDGOYAL,2023-04-08T08:11:03Z,0,0,,True,True,gpl-3.0
kovidgoyal,kovidgoyal/kovidgoyal.github.io,2016-03-13T04:29:04Z,4,4,HTML,True,True,gpl-3.0
kovidgoyal,kovidgoyal/libimobiledevice,2015-12-09T09:02:34Z,2,2,C,True,True,lgpl-2.1
kovidgoyal,kovidgoyal/libplist,2015-12-09T04:29:41Z,2,2,C,True,True,lgpl-2.1
kovidgoyal,kovidgoyal/libusbmuxd,2015-12-09T07:31:26Z,3,3,C,True,True,lgpl-2.1
kovidgoyal,kovidgoyal/MathJax,2016-05-03T04:06:49Z,0,0,JavaScript,True,True,apache-2.0
kovidgoyal,kovidgoyal/patchelf,2018-05-31T11:52:14Z,1,1,C,True,False,gpl-3.0
kovidgoyal,kovidgoyal/podofo,2023-06-17T04:41:17Z,2,2,C++,True,True,other
kovidgoyal,kovidgoyal/powerline-daemon,2013-03-09T13:07:00Z,38,38,Python,True,True,
kovidgoyal,kovidgoyal/pywin32,2019-06-10T09:23:47Z,3,3,C++,True,True,
kovidgoyal,kovidgoyal/rapydscript-ng,2015-07-14T00:53:20Z,190,190,JavaScript,True,True,bsd-2-clause
kovidgoyal,kovidgoyal/repology-rules,2021-05-20T03:25:08Z,0,0,Python,True,True,gpl-3.0
kovidgoyal,kovidgoyal/sieve.vim,2015-01-29T11:59:30Z,0,0,VimL,True,False,
kovidgoyal,kovidgoyal/sphinx_rtd_dark_mode,2021-07-17T16:39:52Z,0,0,CSS,True,True,mit
kovidgoyal,kovidgoyal/subseq-matcher,2017-05-24T08:06:38Z,6,6,C,True,True,gpl-3.0
slidenerd,slidenerd/a,2021-11-04T12:02:09Z,0,0,,True,True,
slidenerd,slidenerd/AboutUs,2018-07-08T15:26:07Z,0,0,HTML,True,True,
slidenerd,slidenerd/agentphantom,2021-11-05T02:55:10Z,0,0,,True,True,mit
slidenerd,slidenerd/android-3d-flip-view-transition,2015-03-25T11:28:46Z,5,5,Java,True,False,
slidenerd,slidenerd/Android-Design-Support-Library-Demo,2015-06-15T11:36:07Z,157,157,Java,True,True,
slidenerd,slidenerd/android-dev-sources,2019-07-13T04:25:01Z,1,1,,True,True,apache-2.0
slidenerd,slidenerd/Android_Annotations_Demo,2015-09-09T06:06:07Z,7,7,Java,True,True,
slidenerd,slidenerd/apostrophe-tumblr,2019-09-09T11:13:03Z,0,0,,True,True,mit
slidenerd,slidenerd/argon-design-system,2020-03-18T11:28:27Z,0,0,,True,True,other
slidenerd,slidenerd/atomic-design-vue,2020-04-11T14:08:23Z,0,0,,True,True,
slidenerd,slidenerd/auth-module,2019-10-14T10:02:45Z,0,0,,True,True,mit
slidenerd,slidenerd/awesome-vue,2019-09-08T05:49:05Z,0,0,,True,False,
slidenerd,slidenerd/BD,2015-07-20T16:02:08Z,7,7,Java,True,True,
slidenerd,slidenerd/bitfinex-api-node,2019-04-29T09:48:20Z,0,0,JavaScript,True,True,mit
slidenerd,slidenerd/bittrex-api,2018-11-10T14:27:51Z,0,0,JavaScript,True,True,
slidenerd,slidenerd/bittrex-signalr-client,2018-10-07T09:12:53Z,0,0,JavaScript,True,True,
slidenerd,slidenerd/blk-design-system,2020-04-11T14:21:18Z,0,0,,True,True,
slidenerd,slidenerd/bootbot,2019-06-09T03:42:53Z,0,0,JavaScript,True,True,mit
slidenerd,slidenerd/bootstrap,2020-04-13T07:54:43Z,0,0,,True,False,mit
slidenerd,slidenerd/BucketDrops,2015-12-22T10:07:40Z,25,25,Java,True,True,
slidenerd,slidenerd/buefy,2020-04-17T15:50:10Z,0,0,,True,False,mit
slidenerd,slidenerd/buefy-value-error,2024-01-11T10:16:13Z,0,0,JavaScript,True,True,
slidenerd,slidenerd/bull,2020-07-05T04:41:22Z,0,0,,True,True,other
slidenerd,slidenerd/bulma,2020-04-07T10:26:24Z,0,0,,True,True,mit
slidenerd,slidenerd/bulma-scss,2020-05-07T15:55:47Z,0,0,,True,False,mit
